date,price_eur_m_whe,gwh,cp_meur_nsa_b1g,cp_meur_nsa_d1,cp_meur_nsa_d11,cp_meur_nsa_p6,cp_meur_nsa_p7,ths_hw_b_e_nsa_emp_dc,ths_hw_c_nsa_emp_dc,ths_hw_j_nsa_emp_dc,ths_hw_g_i_nsa_emp_dc,ths_hw_total_nsa_emp_dc,avg_nac_usd,imp_e7000_gwh,exp_e7000_gwh
2015 Q1,33.108333333333334,18241,72741.1,36915.6,30410.5,46331.7,39998.1,275314,252269,50580,462116,1694072,1.1261,8877,4986
2015 Q2,28.371868131868133,15989,76097.2,44955.6,37066.8,44097.3,41787.9,279460,255883,49579,457880,1756050,1.1053,5090,5186
2015 Q3,32.837065217391306,16115,77103.3,37131,30613.8,46405.8,44266.4,278883,255100,49515,460932,1715166,1.1117,6676,4257
2015 Q4,33.18739130434783,17576,81096.1,44658.7,36828.8,45934.4,43804,281563,257704,45740,455914,1714207,1.0953,8724,4882
2016 Q1,25.175934065934065,18352,76369.1,38569.5,31769.6,48084.3,41109.9,276018,253020,50345,473380,1719966,1.102,9082,4728
2016 Q2,24.797252747252745,16002,79634.1,46759,38536.3,45483.5,43296.9,284615,260218,50938,475916,1809404,1.1292,4825,4941
2016 Q3,28.26695652173913,15930,79326.2,38507.8,31729.7,47199,44186.1,277060,253305,49315,480531,1727593,1.1166,5092,5163
2016 Q4,37.602065217391306,18246,83623.3,46245.1,38121.2,46642.6,45117.7,278759,255055,50340,469098,1768223,1.0789,7343,4356
2017 Q1,41.312333333333335,17762.600000000002,78476,39512.1,32552.2,50623.1,45020.6,282970,259231,51071,489396,1796155,1.0648,8579.373,5069.501
2017 Q2,29.787142857142857,15230.189999999999,81801.6,48432.5,39933.9,48424.1,46691.1,282025,258275,51506,464395,1790927,1.1021,6992.223,5653.29
2017 Q3,32.70239130434783,15433.69,82103.2,39956.9,32936.6,49483,47830.2,279049,255055,50959,464122,1716208,1.1746,5465.77,5955.934
2017 Q4,33.047391304347826,17290.71,87035.9,48184.7,39713.8,51114.1,48417.9,284650,260701,53157,470246,1793249,1.1774,8324.948,6137.787
2018 Q1,35.51244444444445,18039.52,82782.7,41729.4,34341.4,54564.4,47926.2,289369,265426,54474,495204,1793010,1.2292,7445.9259999999995,4737.904
2018 Q2,35.97846153846154,15321.239999999998,85025.4,51218.7,42155.5,52136.4,50134.9,287411,263330,53275,478041,1839516,1.1915,4732.630999999999,5121.24
2018 Q3,53.50836956521739,15393.62,85081.7,42128.7,34672.1,52731.8,51419.6,284135,260366,53210,483449,1765101,1.1629,7189.521000000001,3671.768
2018 Q4,59.9125,17325.53,91377.1,50049.9,41210.3,54248.8,52639.5,290694,266580,56929,480868,1837258,1.1414,8708.058,5598.418000000001
2019 Q1,45.007333333333335,17731.699999999997,85679.9,43686.7,35987.6,57714,50948.8,293804,269580,58913,502792,1844865,1.1358,8117.793000000001,6471.905
2019 Q2,36.76494505494505,15629.79,88025.4,53322.6,43974.6,53567.1,52410.9,289798,265732,56171,480913,1847807,1.1237,4620.402,6057.341
2019 Q3,38.60880434782609,15476.689999999999,88282.3,43511.5,35893.8,54736.1,52093.8,285866,261459,56814,483941,1786491,1.1119,5776.733,5254.817
2019 Q4,39.92173913043478,17172.7,92947.2,52317.1,43172.7,55433.4,51586.2,293119,268484,60862,492941,1871345,1.1071,7531.919,5134.200999999999
2020 Q1,31.51252747252747,17365.17,85083.6,44554.1,36743.5,54448.3,48521.6,286005,262393,55809,459726,1749832,1.1027,7789.1990000000005,5791.735000000001
2020 Q2,20.75813186813187,14018.189999999999,79614.7,52014.5,42906.7,41275.8,40863.6,251823,229571,51992,347701,1552414,1.1014,4856.806,5348.937
2020 Q3,37.86032608695652,15071.689999999999,86924.4,43274.8,35706.1,49677.1,46334.1,274578,250430,52913,444064,1723670,1.1689,4727.75,5855.924
2020 Q4,42.299239130434785,17172.21,90371.4,52484.9,43318.7,51265.5,49508.6,282363,258250,55177,381672,1683263,1.1929,7148.736999999999,5330.086
2021 Q1,54.02455555555555,17316.85,82315.1,43967.6,36270.6,50629.9,49693.6,286320,262380,59171,387499,1698665,1.2048,7555.048999999999,4183.736
2021 Q2,62.98615384615385,15632.27,90616.7,55339.7,45695.1,55197.9,55469.8,289561,265217,59630,428282,1802450,1.2058,4833.115,5112.099
2021 Q3,100.03913043478262,15502.59,93307.5,46079.7,38052.1,59413.1,57779,284849,260194,58922,467146,1783426,1.1788,5860.3240000000005,5413.74
2021 Q4,208.73195652173914,17618.29,97101.5,55975.3,46239.2,61797.4,61747.1,285954,261856,58783,430507,1747283,1.1435,8187.704,4183.461
2022 Q1,214.71144444444445,17702.73,93366.3,48275.2,39855.9,65600.1,63473.2,297938,273218,62886,470206,1809738,1.1217,8405.421,5592.065
2022 Q2,199.66637362637363,15282.41,100200.1,60103.6,49651.5,68185,67854.8,297372,272493,60085,468662,1850246,1.0647,5681.054,5572.182
2022 Q3,416.86978260869563,14885.68,100322.8,48844.3,40343.8,71316.9,69693,287018,262326,58026,468816,1767114,1.007,6632.284,4237.5830000000005
2022 Q4,221.00315217391304,16205.21,106493.2,59480.6,49141.5,70524.2,69121.9,289042,264538,60956,468457,1810645,1.0205,7876.411,4480.117
2023 Q1,134.0042222222222,16467.54,103399.5,51589.3,42597,74040.3,69018,307885,281869,65494,490559,1858928,1.073,7362.231,4935.711
